 
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
205,Marcus Smart,30,MEM,PG,18,6,21.2,2.9,7.9,.373,1.6,4.8,.333,1.3,3.1,.436,.475,1.7,2.0,.833,0.8,1.6,2.3,3.8,1.3,0.3,1.9,1.7,9.2,,smartma01
206,Cole Anthony,24,ORL,PG,46,8,17.0,3.4,8.0,.421,1.0,3.2,.317,2.4,4.8,.489,.484,1.3,1.7,.792,0.7,2.3,2.9,2.8,0.6,0.3,1.6,2.2,9.1,,anthoco01
207,Dereck Lively II,20,DAL,C,32,25,24.0,3.9,5.5,.701,0.0,0.0,,3.9,5.5,.701,.701,1.4,2.2,.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1,,livelde01
208,Caleb Martin,29,PHI,SF,31,24,30.4,3.3,7.5,.435,1.1,2.8,.379,2.2,4.7,.469,.506,1.5,2.4,.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,,martica02
209,Dorian Finney-Smith,31,2TM,PF,33,22,26.9,3.2,6.8,.469,2.1,4.8,.433,1.1,2.0,.552,.621,0.6,0.9,.655,1.3,2.6,3.9,1.2,0.9,0.4,0.8,2.5,9.0,,finnedo01
209,Dorian Finney-Smith,31,BRK,PF,20,20,29.0,3.7,8.0,.459,2.4,5.4,.435,1.3,2.6,.510,.607,0.8,1.2,.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,,finnedo01
209,Dorian Finney-Smith,31,LAL,PF,13,2,23.8,2.5,5.0,.492,1.6,3.8,.429,0.8,1.2,.688,.654,0.3,0.4,.800,1.0,2.0,3.0,0.8,0.8,0.0,0.7,2.2,6.8,,finnedo01
210,Nick Richards,27,2TM,C,30,17,22.0,3.2,5.7,.558,0.0,0.1,.000,3.2,5.7,.565,.558,2.6,3.8,.690,2.5,5.9,8.4,1.2,0.3,1.1,1.7,2.5,9.0,,richani01
210,Nick Richards,27,CHO,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,,richani01
210,Nick Richards,27,PHO,C,9,8,24.3,3.6,6.4,.552,0.0,0.1,.000,3.6,6.3,.561,.552,2.1,2.9,.731,2.7,7.8,10.4,0.8,0.2,0.9,1.9,2.9,9.2,,richani01
211,Kentavious Caldwell-Pope,31,ORL,SG,48,48,30.7,3.2,7.7,.416,1.5,4.8,.311,1.7,2.9,.586,.512,1.2,1.4,.877,0.4,1.6,2.0,1.8,1.5,0.5,0.9,1.9,9.0,,caldwke01
212,GG Jackson II,20,MEM,PF,8,0,17.3,3.4,8.9,.380,1.3,4.6,.270,2.1,4.3,.500,.451,1.0,1.3,.800,0.9,2.8,3.6,0.9,0.6,0.3,1.4,1.0,9.0,,jacksgg01
213,Moses Moody,22,GSW,SG,42,5,18.2,3.1,6.9,.443,1.7,4.3,.400,1.4,2.6,.514,.567,1.1,1.5,.708,0.5,1.6,2.1,1.1,0.5,0.3,0.7,1.3,9.0,,moodymo01
214,Brandin Podziemski,21,GSW,SG,36,8,24.0,3.3,7.8,.430,1.3,3.9,.336,2.0,3.9,.525,.514,0.9,1.1,.800,1.0,3.5,4.5,3.3,1.0,0.2,1.1,1.5,8.9,,podzibr01
215,Dalano Banton,25,POR,PG,38,0,15.7,3.1,7.6,.410,1.2,3.3,.357,1.9,4.3,.451,.488,1.4,1.9,.703,0.3,1.6,1.9,2.2,0.7,0.5,1.3,0.9,8.8,,bantoda01
216,Anthony Black,21,ORL,PG,47,9,24.9,3.1,7.7,.403,0.6,2.3,.266,2.5,5.3,.462,.443,2.0,2.7,.742,0.6,2.1,2.6,3.4,1.0,0.5,1.9,2.3,8.8,,blackan01
